"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 07- 09","267.72","269.60","270.22","267.72","71.88M","-0.31%"
"2019- 07- 10","268.75","269.29","270.33","268.60","67.51M","0.38%"
"2019- 07- 11","271.78","270.58","272.97","270.46","107.37M","1.13%"
"2019- 07- 12","272.68","272.21","273.23","271.28","55.66M","0.33%"
"2019- 07- 15","272.64","272.06","273.38","270.99","83.61M","-0.01%"
"2019- 07- 16","274.05","272.79","274.54","272.14","137.05M","0.52%"
"2019- 07- 17","271.48","272.13","272.28","270.29","117.95M","-0.94%"
"2019- 07- 18","270.67","271.05","271.63","269.73","80.14M","-0.30%"
"2019- 07- 19","274.55","272.71","274.95","272.21","87.94M","1.43%"
"2019- 07- 22","274.55","273.90","275.35","273.57","60.91M","0.00%"
"2019- 07- 23","275.92","274.93","276.56","274.84","95.08M","0.50%"
"2019- 07- 24","273.22","275.12","276.48","272.91","84.29M","-0.98%"
"2019- 07- 25","273.04","274.08","274.62","271.25","95.65M","-0.07%"
"2019- 07- 26","272.25","271.41","272.56","270.57","89.84M","-0.29%"
"2019- 07- 29","267.75","271.21","271.91","267.07","78.75M","-1.65%"
"2019- 07- 30","268.95","268.69","269.79","268.33","64.53M","0.45%"
"2019- 07- 31","266.34","268.46","269.14","265.00","96.24M","-0.97%"
"2019- 08- 01","265.73","264.97","267.44","264.47","72.58M","-0.23%"
"2019- 08- 02","262.99","262.61","263.94","261.75","99.66M","-1.03%"
"2019- 08- 05","257.19","261.10","261.40","256.76","131.04M","-2.21%"
"2019- 08- 06","253.41","250.85","257.04","250.24","123.17M","-1.47%"
"2019- 08- 07","252.00","254.46","254.90","251.08","90.74M","-0.56%"
"2019- 08- 08","252.40","254.11","255.33","252.37","163.71M","0.16%"
"2019- 08- 09","254.85","255.13","256.15","254.41","117.69M","0.97%"
"2019- 08- 12","255.35","255.57","256.43","254.43","69.38M","0.20%"
"2019- 08- 13","252.83","253.50","254.58","252.63","76.82M","-0.99%"
"2019- 08- 14","254.86","255.84","256.82","254.59","82.24M","0.80%"
"2019- 08- 16","253.90","252.76","253.94","251.46","71.83M","-0.38%"
"2019- 08- 19","255.11","255.20","255.84","254.25","66.02M","0.48%"
"2019- 08- 20","258.05","255.53","258.62","254.74","81.69M","1.15%"
"2019- 08- 21","258.38","257.15","259.49","257.11","65.48M","0.13%"
"2019- 08- 22","256.28","258.53","258.73","256.25","67.25M","-0.81%"
"2019- 08- 23","256.11","255.11","256.88","254.91","54.78M","-0.07%"
"2019- 08- 26","252.19","251.80","253.14","250.99","62.61M","-1.53%"
"2019- 08- 27","253.50","253.74","254.96","252.53","93.38M","0.52%"
"2019- 08- 28","255.53","254.20","255.98","253.65","58.34M","0.80%"
"2019- 08- 29","254.31","255.68","256.28","253.60","64.85M","-0.48%"
"2019- 08- 30","259.00","256.85","259.61","256.72","94.16M","1.84%"
"2019- 09- 02","259.08","258.25","259.74","257.80","54.89M","0.03%"
"2019- 09- 03","258.25","258.55","259.67","257.40","64.32M","-0.32%"
"2019- 09- 04","261.69","257.89","261.69","257.76","69.29M","1.33%"
"2019- 09- 05","264.44","262.53","266.00","262.27","88.99M","1.05%"
"2019- 09- 06","265.53","266.20","266.36","264.74","59.20M","0.41%"
"2019- 09- 09","267.40","266.11","268.67","265.92","62.21M","0.70%"
"2019- 09- 10","268.76","267.96","269.13","267.35","66.34M","0.51%"
"2019- 09- 11","270.84","270.35","271.35","269.58","103.90M","0.77%"
"2019- 09- 16","272.02","271.48","272.03","269.59","103.34M","0.44%"
"2019- 09- 17","271.68","271.46","272.26","270.90","73.74M","-0.12%"
"2019- 09- 18","273.06","271.88","273.72","271.04","67.60M","0.51%"
"2019- 09- 19","274.92","273.11","276.15","273.03","70.50M","0.68%"
"2019- 09- 20","276.44","275.01","276.67","274.46","74.03M","0.55%"
"2019- 09- 23","276.65","275.86","277.11","275.64","60.19M","0.08%"
"2019- 09- 24","277.97","276.41","278.17","275.55","68.27M","0.48%"
"2019- 09- 25","274.42","276.67","277.04","274.12","70.84M","-1.28%"
"2019- 09- 26","274.89","275.61","276.38","273.50","89.59M","0.17%"
"2019- 09- 27","271.33","273.32","273.40","270.52","57.74M","-1.30%"
"2019- 09- 30","273.55","270.61","273.85","270.06","54.69M","0.82%"
"2019- 10- 01","274.42","273.43","275.38","272.81","52.63M","0.32%"
"2019- 10- 02","268.55","272.39","272.42","268.55","66.21M","-2.14%"
"2019- 10- 04","267.39","268.14","270.16","267.39","62.88M","-0.43%"
"2019- 10- 07","267.67","269.12","269.75","266.83","53.57M","0.10%"
"2019- 10- 08","271.36","268.90","271.51","267.97","75.08M","1.38%"
"2019- 10- 10","268.80","268.79","270.78","266.23","98.18M","-0.94%"
"2019- 10- 11","271.30","271.68","272.68","270.58","59.64M","0.93%"
"2019- 10- 14","274.23","274.71","275.75","273.97","71.05M","1.08%"
"2019- 10- 15","274.34","273.85","275.09","273.83","53.05M","0.04%"
"2019- 10- 16","276.32","276.26","277.59","275.24","65.38M","0.72%"
"2019- 10- 17","275.57","275.92","276.68","274.62","53.87M","-0.27%"
"2019- 10- 18","272.81","275.99","277.06","272.28","71.47M","-1.00%"
"2019- 10- 21","273.79","273.87","274.10","272.67","45.39M","0.36%"
"2019- 10- 22","277.41","275.40","278.19","274.93","63.88M","1.32%"
"2019- 10- 23","276.23","276.83","277.29","275.34","65.29M","-0.43%"
"2019- 10- 24","276.70","277.70","277.84","274.31","73.68M","0.17%"
"2019- 10- 25","277.07","277.60","277.67","275.70","58.28M","0.13%"
"2019- 10- 28","277.78","278.16","279.42","277.29","59.07M","0.26%"
"2019- 10- 29","277.55","279.25","279.49","276.81","57.15M","-0.08%"
"2019- 10- 30","275.51","277.49","277.49","274.95","72.53M","-0.73%"
"2019- 10- 31","275.82","276.84","279.04","275.82","78.34M","0.11%"
"2019- 11- 01","278.43","276.17","278.55","275.59","58.54M","0.95%"
"2019- 11- 04","282.54","279.90","282.77","279.90","77.00M","1.48%"
"2019- 11- 05","284.38","282.99","284.46","282.27","76.36M","0.65%"
"2019- 11- 06","284.52","284.31","286.43","283.70","77.95M","0.05%"
"2019- 11- 07","284.37","284.04","284.82","283.05","70.72M","-0.05%"
"2019- 11- 08","283.13","285.81","286.12","282.57","73.68M","-0.44%"
"2019- 11- 11","280.85","283.30","283.30","280.40","61.56M","-0.81%"
"2019- 11- 12","283.65","281.90","283.65","280.79","65.57M","1.00%"
"2019- 11- 13","281.28","282.28","282.49","280.62","60.13M","-0.84%"
"2019- 11- 14","283.93","281.90","283.93","281.10","79.76M","0.94%"
"2019- 11- 15","287.29","283.85","287.72","283.30","71.65M","1.18%"
"2019- 11- 18","287.18","287.10","287.78","285.94","56.11M","-0.04%"
"2019- 11- 19","286.23","285.74","286.34","283.73","68.17M","-0.33%"
"2019- 11- 20","282.21","284.27","285.29","282.00","73.55M","-1.40%"
"2019- 11- 21","278.28","281.89","282.33","276.98","81.75M","-1.39%"
"2019- 11- 22","279.43","278.57","279.89","278.14","74.35M","0.41%"
"2019- 11- 25","282.19","281.77","283.53","281.48","64.51M","0.99%"
"2019- 11- 26","281.83","283.09","284.87","281.77","119.52M","-0.13%"
"2019- 11- 27","282.85","283.56","284.02","281.27","60.90M","0.36%"
"2019- 11- 28","281.23","281.23","282.80","281.05","61.62M","-0.57%"
"2019- 11- 29","276.78","282.08","282.10","276.34","74.60M","-1.58%"
"2019- 12- 02","277.44","278.27","279.44","276.97","66.61M","0.24%"
"2019- 12- 03","276.19","274.93","276.63","273.88","67.28M","-0.45%"
"2019- 12- 04","274.15","274.36","274.68","272.53","81.92M","-0.74%"
"2019- 12- 05","273.30","275.65","276.63","272.53","66.51M","-0.31%"
"2019- 12- 06","276.56","275.19","277.00","274.75","70.11M","1.19%"
"2019- 12- 09","278.03","278.31","278.75","277.02","70.52M","0.53%"
"2019- 12- 10","279.31","276.80","279.75","276.62","56.67M","0.46%"
"2019- 12- 11","280.28","279.19","281.03","278.45","66.85M","0.35%"
"2019- 12- 12","285.11","282.62","285.43","282.62","133.65M","1.72%"
"2019- 12- 13","290.11","289.34","290.11","288.32","99.62M","1.75%"
"2019- 12- 16","289.76","289.54","290.80","289.36","73.74M","-0.12%"
"2019- 12- 17","294.40","291.76","294.50","290.52","94.37M","1.60%"
"2019- 12- 18","294.22","294.31","295.85","293.05","76.91M","-0.06%"
"2019- 12- 19","294.31","295.06","295.84","292.82","70.19M","0.03%"
"2019- 12- 20","295.31","295.58","295.86","293.95","75.97M","0.34%"
"2019- 12- 23","294.87","295.84","296.12","293.81","62.09M","-0.15%"
"2019- 12- 24","292.90","295.18","295.25","292.47","60.61M","-0.67%"
"2019- 12- 26","294.06","293.12","294.07","291.79","68.48M","0.40%"
"2019- 12- 27","295.20","292.37","296.95","291.28","77.51M","0.39%"
"2019- 12- 30","293.77","294.60","295.49","293.40","54.97M","-0.48%"
"2020- 01- 02","290.35","294.19","294.57","289.96","66.16M","-1.16%"
"2020- 01- 03","290.74","293.10","294.88","289.04","79.77M","0.13%"
"2020- 01- 06","288.43","287.73","289.41","287.49","69.96M","-0.79%"
"2020- 01- 07","291.23","290.01","292.26","289.64","65.35M","0.97%"
"2020- 01- 08","289.42","288.94","291.01","287.30","124.53M","-0.62%"
"2020- 01- 09","294.41","293.83","294.41","292.10","111.79M","1.72%"
"2020- 01- 10","297.06","294.80","297.17","294.17","94.16M","0.90%"
"2020- 01- 13","300.13","296.62","300.31","296.53","81.68M","1.03%"
"2020- 01- 14","301.53","302.20","303.61","300.69","92.12M","0.47%"
"2020- 01- 15","299.74","299.91","301.13","298.82","71.77M","-0.59%"
"2020- 01- 16","302.78","299.93","302.91","298.95","85.71M","1.01%"
"2020- 01- 17","303.30","305.07","306.05","302.51","81.54M","0.17%"
"2020- 01- 20","305.58","304.99","307.54","304.77","78.04M","0.75%"
"2020- 01- 21","302.11","304.94","306.09","301.85","67.63M","-1.14%"
"2020- 01- 22","306.08","301.79","306.52","301.16","79.33M","1.31%"
"2020- 01- 23","302.33","303.77","304.72","301.71","86.91M","-1.23%"
"2020- 01- 28","292.77","294.98","296.30","291.30","130.17M","-3.16%"
"2020- 01- 29","293.98","294.38","295.67","292.45","85.73M","0.41%"
"2020- 01- 30","288.37","293.27","294.11","287.09","101.54M","-1.91%"
"2020- 01- 31","284.53","290.24","291.47","284.53","101.46M","-1.33%"
"2020- 02- 03","285.05","280.17","286.24","279.78","111.06M","0.18%"
"2020- 02- 04","290.68","285.19","291.38","285.11","105.45M","1.98%"
"2020- 02- 05","292.02","293.57","294.26","290.30","102.64M","0.46%"
"2020- 02- 06","300.65","294.74","300.98","294.32","110.22M","2.96%"
"2020- 02- 07","298.21","299.59","300.05","296.01","108.11M","-0.81%"
"2020- 02- 10","296.24","294.07","296.73","293.33","72.22M","-0.66%"
"2020- 02- 11","299.28","297.91","301.10","297.48","78.35M","1.03%"
"2020- 02- 12","301.54","299.83","302.20","298.09","110.63M","0.76%"
"2020- 02- 13","300.93","302.79","304.43","300.48","115.07M","-0.20%"
"2020- 02- 14","303.01","300.95","304.20","299.18","80.53M","0.69%"
"2020- 02- 17","302.76","302.84","304.05","300.99","84.28M","-0.08%"
"2020- 02- 18","297.74","300.26","301.29","297.20","84.75M","-1.66%"
"2020- 02- 19","298.33","299.68","300.38","295.53","84.26M","0.20%"
"2020- 02- 20","296.65","300.34","301.35","295.01","90.01M","-0.56%"
"2020- 02- 21","292.42","292.16","295.24","291.96","100.71M","-1.43%"
"2020- 02- 24","281.02","285.51","286.62","281.02","132.82M","-3.90%"
"2020- 02- 25","284.24","280.48","284.63","279.77","117.03M","1.15%"
"2020- 02- 26","279.94","278.45","281.98","277.68","119.55M","-1.51%"
"2020- 02- 27","277.09","279.46","281.09","276.07","110.50M","-1.02%"
"2020- 02- 28","268.02","272.33","273.98","267.23","202.61M","-3.27%"
"2020- 03- 02","270.37","269.59","272.60","265.70","163.72M","0.88%"
"2020- 03- 03","271.56","277.44","277.54","270.79","146.72M","0.44%"
"2020- 03- 04","278.13","270.13","278.90","270.13","208.46M","2.42%"
"2020- 03- 05","281.38","280.66","282.05","277.91","147.44M","1.17%"
"2020- 03- 06","275.10","276.74","278.31","274.00","140.90M","-2.23%"
"2020- 03- 09","263.11","266.39","267.75","261.76","182.67M","-4.36%"
"2020- 03- 10","264.67","261.94","265.57","260.75","173.09M","0.59%"
"2020- 03- 11","257.01","264.63","265.04","255.69","194.21M","-2.89%"
"2020- 03- 12","247.62","253.93","255.49","243.76","242.47M","-3.65%"
"2020- 03- 13","240.65","231.71","246.19","227.36","298.90M","-2.81%"
"2020- 03- 16","232.97","245.21","245.21","232.76","175.05M","-3.19%"
"2020- 03- 17","226.89","222.94","234.56","222.46","216.73M","-2.61%"
"2020- 03- 18","215.83","228.63","230.04","215.81","208.04M","-4.87%"
"2020- 03- 19","199.28","220.72","220.85","196.27","303.56M","-7.67%"
"2020- 03- 20","213.67","204.84","214.08","200.54","269.35M","7.22%"
"2020- 03- 23","201.87","200.80","206.66","198.67","210.30M","-5.52%"
"2020- 03- 24","220.34","207.65","220.34","205.41","225.73M","9.15%"
"2020- 03- 25","232.89","228.37","233.42","224.74","306.11M","5.70%"
"2020- 03- 26","229.34","231.91","236.61","229.22","290.84M","-1.52%"
"2020- 03- 27","233.79","239.11","239.48","227.01","249.10M","1.94%"
"2020- 03- 30","232.45","227.05","234.70","225.09","167.23M","-0.57%"
"2020- 03- 31","236.82","235.20","237.47","232.50","240.44M","1.88%"
"2020- 04- 01","226.35","234.23","237.52","226.34","228.58M","-4.42%"
"2020- 04- 02","231.84","227.47","232.22","223.60","181.79M","2.43%"
"2020- 04- 03","231.70","232.48","234.45","229.23","181.04M","-0.06%"
"2020- 04- 06","240.81","234.40","241.19","233.75","190.74M","3.93%"
"2020- 04- 07","244.87","245.65","247.39","240.68","224.45M","1.69%"
"2020- 04- 08","241.89","243.71","246.99","241.77","173.12M","-1.22%"
"2020- 04- 09","245.61","246.13","246.46","243.11","175.94M","1.54%"
"2020- 04- 10","248.00","245.14","248.21","244.02","286.11M","0.97%"
"2020- 04- 13","243.40","246.59","246.90","243.39","195.90M","-1.85%"
"2020- 04- 14","247.45","246.20","248.55","244.58","193.12M","1.66%"
"2020- 04- 16","247.10","244.99","247.87","243.61","197.54M","-0.14%"
"2020- 04- 17","255.02","252.52","257.37","252.38","287.36M","3.21%"
"2020- 04- 20","252.14","253.85","255.93","251.46","211.00M","-1.13%"
"2020- 04- 21","249.40","250.26","251.88","245.11","257.16M","-1.09%"
"2020- 04- 22","251.88","246.16","252.18","244.56","184.50M","0.99%"
"2020- 04- 23","253.74","253.42","255.22","251.58","163.81M","0.74%"
"2020- 04- 24","250.28","252.47","252.86","249.19","154.31M","-1.36%"
"2020- 04- 27","254.84","251.18","255.79","250.61","151.36M","1.82%"
"2020- 04- 28","256.39","255.91","257.34","253.22","172.42M","0.61%"
"2020- 04- 29","258.15","256.58","259.67","256.04","184.48M","0.69%"
"2020- 05- 04","250.60","252.44","253.70","250.34","174.04M","-2.92%"
"2020- 05- 06","255.00","253.76","255.01","251.26","133.28M","1.76%"
"2020- 05- 07","254.46","253.88","256.14","253.37","114.36M","-0.21%"
"2020- 05- 08","256.62","256.66","258.29","256.23","125.22M","0.85%"
"2020- 05- 11","254.95","257.67","258.87","254.59","144.30M","-0.65%"
"2020- 05- 12","253.37","255.33","255.56","250.98","166.80M","-0.62%"
"2020- 05- 13","255.85","250.03","255.85","249.95","141.25M","0.98%"
"2020- 05- 14","253.65","253.26","254.39","252.09","167.64M","-0.86%"
"2020- 05- 15","253.79","255.34","255.49","252.02","228.90M","0.06%"
"2020- 05- 18","255.44","254.55","256.31","252.95","223.00M","0.65%"
"2020- 05- 19","261.79","261.12","262.34","259.96","253.33M","2.49%"
"2020- 05- 20","262.72","260.48","263.25","260.48","140.30M","0.36%"
"2020- 05- 21","263.74","264.52","264.85","263.07","159.48M","0.39%"
"2020- 05- 22","259.62","263.82","264.07","258.34","166.03M","-1.56%"
"2020- 05- 25","262.76","260.95","262.82","259.16","125.43M","1.21%"
"2020- 05- 26","267.31","263.48","267.31","262.95","175.42M","1.73%"
"2020- 05- 27","267.64","266.71","269.17","265.86","247.18M","0.12%"
"2020- 05- 28","268.29","270.17","271.44","264.85","248.93M","0.24%"
"2020- 05- 29","268.32","266.62","269.61","265.23","269.47M","0.01%"
"2020- 06- 01","273.19","269.29","273.39","268.93","171.51M","1.81%"
"2020- 06- 02","276.08","272.65","276.47","272.22","251.03M","1.06%"
"2020- 06- 03","285.91","279.14","287.49","278.98","476.50M","3.56%"
"2020- 06- 04","286.45","291.17","292.90","284.93","364.58M","0.19%"
"2020- 06- 05","290.62","286.30","291.50","284.50","282.06M","1.46%"
"2020- 06- 08","290.77","295.41","295.68","289.71","286.66M","0.05%"
"2020- 06- 09","291.32","293.96","294.87","287.83","268.57M","0.19%"
"2020- 06- 10","291.90","291.03","292.92","289.60","229.07M","0.20%"
"2020- 06- 11","288.62","289.98","292.08","284.29","275.90M","-1.12%"
"2020- 06- 12","281.78","276.97","282.54","276.05","232.83M","-2.37%"
"2020- 06- 15","267.95","278.61","280.87","267.95","262.44M","-4.91%"
"2020- 06- 16","282.59","275.89","282.59","274.00","247.89M","5.46%"
"2020- 06- 17","283.02","282.08","284.90","278.33","337.22M","0.15%"
"2020- 06- 18","281.91","281.74","283.39","280.02","181.59M","-0.39%"
"2020- 06- 19","283.37","284.56","284.70","278.53","189.13M","0.52%"
"2020- 06- 22","281.42","281.01","283.71","280.34","139.84M","-0.69%"
"2020- 06- 23","281.94","284.64","286.04","279.26","163.68M","0.18%"
"2020- 06- 24","286.70","283.71","288.30","283.30","200.57M","1.69%"
"2020- 06- 25","279.73","282.38","284.36","279.73","152.98M","-2.43%"
"2020- 06- 26","283.38","283.36","284.58","280.65","169.01M","1.30%"
"2020- 06- 29","278.04","279.36","281.77","277.06","137.76M","-1.88%"
"2020- 06- 30","280.09","282.55","283.98","280.09","179.50M","0.74%"
"2020- 07- 01","280.26","283.10","283.84","279.44","133.80M","0.06%"
"2020- 07- 02","283.86","281.30","283.89","280.71","111.37M","1.28%"
"2020- 07- 03","285.89","285.59","286.09","283.36","100.22M","0.72%"
"2020- 07- 06","290.62","286.84","291.14","286.31","128.12M","1.65%"
"2020- 07- 07","286.77","292.74","292.98","286.76","156.13M","-1.32%"
"2020- 07- 08","285.97","287.20","288.41","285.18","119.45M","-0.28%"
"2020- 07- 09","287.25","287.80","289.41","287.08","140.61M","0.45%"
"2020- 07- 10","285.06","287.87","288.09","283.51","136.77M","-0.76%"
"2020- 07- 13","289.84","287.92","290.49","286.86","127.05M","1.68%"
"2020- 07- 14","289.63","288.42","289.63","286.89","126.30M","-0.07%"
"2020- 07- 15","292.27","292.94","294.42","290.89","168.35M","0.91%"
"2020- 07- 16","289.25","292.34","292.74","288.46","129.45M","-1.03%"
"2020- 07- 17","291.57","289.90","292.10","289.90","118.64M","0.80%"
"2020- 07- 20","290.81","292.76","292.76","289.01","161.82M","-0.26%"
"2020- 07- 21","295.16","294.03","296.11","293.20","366.99M","1.50%"
"2020- 07- 22","294.04","294.71","296.14","293.39","327.32M","-0.38%"
"2020- 07- 23","292.37","293.62","293.62","290.49","250.98M","-0.57%"
"2020- 07- 24","290.66","289.84","292.74","289.42","216.21M","-0.58%"
"2020- 07- 27","293.51","291.03","295.26","290.82","193.24M","0.98%"
"2020- 07- 28","300.13","296.53","301.34","296.38","301.28M","2.26%"
"2020- 07- 29","301.25","300.57","303.51","299.61","264.44M","0.37%"
"2020- 07- 30","301.85","303.13","304.13","301.49","191.76M","0.20%"
"2020- 07- 31","299.32","303.69","304.16","298.89","201.96M","-0.84%"
"2020- 08- 03","299.46","299.57","300.33","297.57","179.73M","0.05%"
"2020- 08- 04","303.04","302.50","304.27","301.48","219.87M","1.20%"
"2020- 08- 05","306.64","303.94","306.67","302.91","210.81M","1.19%"
"2020- 08- 06","311.32","307.88","312.84","307.88","254.20M","1.53%"
"2020- 08- 07","312.57","311.99","314.11","310.00","299.12M","0.40%"
"2020- 08- 10","316.77","312.75","317.84","312.08","261.18M","1.34%"
"2020- 08- 11","321.02","317.63","322.64","317.56","297.60M","1.34%"
"2020- 08- 12","322.68","320.31","322.68","317.30","293.14M","0.52%"
"2020- 08- 13","323.33","325.84","326.22","319.66","285.74M","0.20%"
"2020- 08- 14","319.24","321.59","322.66","316.28","260.40M","-1.26%"
"2020- 08- 18","312.84","319.57","321.69","311.20","247.52M","-2.00%"
"2020- 08- 19","313.54","315.96","316.82","313.18","159.93M","0.22%"
"2020- 08- 20","301.59","310.45","312.77","301.15","249.74M","-3.81%"
"2020- 08- 21","306.16","306.17","309.88","303.15","166.30M","1.52%"
"2020- 08- 24","309.33","306.86","310.27","303.39","142.21M","1.04%"
"2020- 08- 25","313.59","312.45","314.14","310.57","197.82M","1.38%"
"2020- 08- 26","314.19","313.61","315.08","309.74","193.54M","0.19%"
"2020- 08- 27","311.38","314.46","315.17","311.37","175.57M","-0.89%"
"2020- 08- 28","312.24","313.86","315.95","311.06","256.41M","0.28%"
"2020- 08- 31","307.14","315.46","316.11","307.12","312.18M","-1.63%"
"2020- 09- 01","309.81","309.08","311.15","307.63","342.81M","0.87%"
"2020- 09- 02","311.50","311.69","312.92","308.52","337.04M","0.55%"
"2020- 09- 03","316.43","314.73","317.46","314.45","342.18M","1.58%"
"2020- 09- 04","312.03","308.25","312.64","308.04","408.03M","-1.39%"
"2020- 09- 07","313.67","312.08","314.44","310.93","264.67M","0.53%"
"2020- 09- 08","317.38","316.31","317.43","314.56","227.27M","1.18%"
"2020- 09- 09","313.77","313.54","315.90","312.90","198.50M","-1.14%"
"2020- 09- 10","316.53","317.92","318.38","315.46","234.27M","0.88%"
"2020- 09- 11","316.45","315.64","316.77","313.20","165.16M","-0.03%"
"2020- 09- 14","320.98","319.83","321.22","318.54","176.78M","1.43%"
"2020- 09- 15","323.36","321.82","323.57","320.54","152.45M","0.74%"
"2020- 09- 16","322.31","323.14","324.19","321.52","146.88M","-0.32%"
"2020- 09- 17","318.00","321.30","322.23","316.92","178.30M","-1.34%"
"2020- 09- 18","318.39","319.20","319.81","316.62","153.54M","0.12%"
"2020- 09- 21","315.89","318.13","320.86","314.78","165.86M","-0.79%"
"2020- 09- 22","308.82","315.53","316.02","307.40","304.36M","-2.24%"
"2020- 09- 23","309.64","311.50","311.76","303.29","208.05M","0.27%"
"2020- 09- 24","302.48","304.85","306.98","301.95","181.25M","-2.31%"
"2020- 09- 25","303.57","305.38","305.55","301.93","156.86M","0.36%"
"2020- 09- 28","307.03","306.49","308.34","304.64","173.18M","1.14%"
"2020- 09- 29","309.44","310.01","311.34","308.52","138.82M","0.78%"
"2020- 10- 05","313.51","309.65","314.66","309.09","157.99M","1.32%"
"2020- 10- 06","314.45","315.13","316.48","313.03","139.89M","0.30%"
"2020- 10- 07","317.35","312.34","317.44","311.82","124.43M","0.92%"
"2020- 10- 08","317.47","320.31","320.38","316.60","168.69M","0.04%"
"2020- 10- 12","319.15","318.99","320.01","317.67","140.94M","0.53%"
"2020- 10- 13","319.58","321.04","321.45","316.98","126.74M","0.13%"
"2020- 10- 14","316.57","319.60","319.88","315.71","129.34M","-0.94%"
"2020- 10- 15","313.92","315.76","315.89","312.40","124.41M","-0.84%"
"2020- 10- 16","311.83","314.41","315.47","309.67","126.44M","-0.67%"
"2020- 10- 19","312.59","313.43","314.94","312.19","138.22M","0.24%"
"2020- 10- 20","314.71","311.02","314.91","309.95","135.68M","0.68%"
"2020- 10- 21","315.76","315.34","316.61","314.16","136.81M","0.33%"
"2020- 10- 22","313.77","313.62","314.29","311.55","140.73M","-0.63%"
"2020- 10- 23","314.79","314.98","315.83","312.31","198.02M","0.33%"
"2020- 10- 26","313.53","315.63","316.78","313.33","170.88M","-0.40%"
"2020- 10- 27","311.80","311.50","313.93","310.55","162.32M","-0.55%"
"2020- 10- 28","313.17","310.66","313.30","309.44","120.21M","0.44%"
"2020- 10- 29","309.94","308.99","310.56","306.63","139.04M","-1.03%"
"2020- 10- 30","301.60","308.91","309.08","301.58","178.91M","-2.69%"
"2020- 11- 02","305.95","302.67","306.43","301.37","111.03M","1.44%"
"2020- 11- 03","312.07","308.14","312.35","308.01","129.00M","2.00%"
"2020- 11- 04","313.83","314.31","315.62","311.37","212.32M","0.56%"
"2020- 11- 05","321.51","315.74","321.51","315.27","186.09M","2.45%"
"2020- 11- 06","322.10","322.72","324.28","320.61","143.96M","0.18%"
"2020- 11- 09","325.83","325.25","328.02","324.51","276.82M","1.16%"
"2020- 11- 10","326.13","326.33","327.00","323.79","331.19M","0.09%"
"2020- 11- 11","331.12","327.04","331.46","327.01","323.23M","1.53%"
"2020- 11- 12","329.72","330.57","331.58","328.46","342.30M","-0.42%"
"2020- 11- 13","333.03","329.09","333.15","328.25","291.36M","1.00%"
"2020- 11- 16","340.63","335.20","341.15","335.20","465.75M","2.28%"
"2020- 11- 17","339.85","340.84","342.57","339.06","403.20M","-0.23%"
"2020- 11- 18","339.96","341.07","341.81","338.64","231.64M","0.03%"
"2020- 11- 19","340.16","338.56","340.42","337.51","215.10M","0.06%"
"2020- 11- 20","340.62","339.48","341.71","338.59","179.11M","0.14%"
"2020- 11- 23","348.46","341.51","348.94","340.60","380.84M","2.30%"
"2020- 11- 24","350.28","350.30","352.55","348.61","295.44M","0.52%"
"2020- 11- 25","348.30","353.05","353.96","346.17","333.14M","-0.57%"
"2020- 11- 26","352.12","348.66","352.12","346.77","182.18M","1.10%"
"2020- 11- 27","352.73","351.83","353.19","350.63","178.42M","0.17%"
"2020- 11- 30","346.05","354.70","354.78","346.05","339.06M","-1.89%"
"2020- 12- 01","352.40","349.37","353.26","349.07","260.00M","1.83%"
"2020- 12- 02","358.66","354.33","359.15","354.00","220.90M","1.78%"
"2020- 12- 03","361.66","360.36","361.66","358.45","206.86M","0.84%"
"2020- 12- 04","367.63","363.28","369.67","363.23","281.11M","1.65%"
"2020- 12- 07","369.86","368.59","371.51","365.32","221.80M","0.61%"
"2020- 12- 08","363.45","369.73","370.11","363.41","192.37M","-1.73%"
"2020- 12- 09","371.47","363.77","371.64","363.77","191.95M","2.21%"
"2020- 12- 10","369.37","370.74","372.68","365.76","344.58M","-0.57%"
"2020- 12- 11","372.24","370.45","374.30","370.39","331.02M","0.78%"
"2020- 12- 14","371.56","372.14","374.72","370.50","284.47M","-0.18%"
"2020- 12- 15","370.88","371.75","372.64","367.70","243.33M","-0.18%"
"2020- 12- 16","372.53","371.86","374.53","371.03","188.95M","0.44%"
"2020- 12- 17","372.00","372.12","372.60","368.07","244.58M","-0.14%"
"2020- 12- 18","371.55","372.02","373.37","370.50","307.53M","-0.12%"
"2020- 12- 21","372.18","371.51","372.44","368.05","252.57M","0.17%"
"2020- 12- 22","366.43","371.08","371.91","366.43","291.11M","-1.54%"
"2020- 12- 23","371.32","367.02","371.93","364.72","296.02M","1.33%"
"2020- 12- 24","379.18","371.67","380.29","371.67","314.37M","2.12%"
"2020- 12- 28","379.93","381.51","383.84","378.44","304.33M","0.20%"
"2020- 12- 29","381.27","380.34","382.31","377.04","234.72M","0.35%"
"2020- 12- 30","389.29","381.21","390.04","379.14","236.86M","2.10%"
"2021- 01- 04","399.88","389.50","400.78","388.88","361.89M","2.72%"
"2021- 01- 05","406.03","399.79","406.03","396.43","470.87M","1.54%"
"2021- 01- 06","402.08","406.33","411.21","401.06","429.08M","-0.97%"
"2021- 01- 07","410.81","404.00","414.65","403.99","460.33M","2.17%"
"2021- 01- 08","430.22","412.06","431.99","412.06","499.11M","4.72%"
"2021- 01- 11","431.13","431.69","449.04","424.16","545.78M","0.21%"
